sentence_id,sentence
191,Mon grand frères'appelle
192,Voici mon pere
193,Il s'appelle
194,Voici ma mere
195,Elle s'appelle
196,Ma seour s'appelle
197,Ma petite seour s'appelle
198,Je suis né à Yaoundé dans le centre du Cameroun 
199,Mon grand frères'appelle
200,Je vais a l'hopital
201,Je suis malade
202,Docteur
203,j'etais à l'infirmerie
204,Infirmiere
205,Patient
206,Palu
207,Maladie
208,Je suis guéri
209,j'ai la fièvre
210,je suis enceinte
211,la pédiatrie
212,elle a subit une opération chirurgicale
213,la pharmacie
214,les médicaments
215,le paludisme
216,le diabète
217,la vaccination
218,injection
219,carnet de consultation
220,le dossier medical
221,le certificat médical
222,le laboratoire
223,les examens médicaux
224,le diagnostic
225,J’ai oublié mon stylo à la maison
226,jaime l'ecole
227,J'aime le travaille en groupe
228,J'aime mes amis
229,effacer le tableau
230,prenez vos ardoises
231,la craie
232,l'effaceoir
233,la remise des bulletins
234,la rentrée scolaire
235,la rentrée academique
236,la journée pédagogique
237,le rassemblement
238,Bravo
239,Continue comme ca
240,Du courage
241,Ce n'est pas bien
242,C'est mauvais
243,Mes félicitations
244,félicitations
245,Comment je peut faire pour aller a...
246,Je vais à l'église
247,Je pars au marché
248,Je rentre de
249,Je voyage pour Bamenda
250,Bonne fete
251,Bon sejour
252,Bonne chance
253,Courage
254,Dieu te garde
255,Nous rendons grace a Dieu
256,Alléluia
257,Merci monsieur
258,Merci
259,c'est gentil
260,Je fais des achats
261,Combien ca coute?
262,Est-ce que je peut voir le menu?
263,Est-ce que je peut voir le catalogues? 
264,"C'est cher,, coûteux, à prix élevé"
265,pas cher
266,bon marché
267,moins cher
268,peu cher
269,Je suis au marche
270,Je suis à la boutique
271,J’ai faim
272,j’ai soif
273,Bon appétit
274,Santé 
275,C’était délicieux 
276,Qu’est-ce que vous me recommandez?
277,Je suis végétarien
278,Sans épice 
279,Je n’aime pas les épices
280,C’est trop chaud 
281,Je suis allergique
282,Fruit de mer
283,Cacahuète
284,Gluten
285,Je voudrais
286,Eau
287,Thé
288,café
289,Bière
290,vin
291,"L’addition, SVP"
292,J’ai besoin de voir un médecin.
293,Appelez un médecin
294,Appelez une ambulance
295,Où est l’hôpital ?
296,Je ne me sens pas très bien
297,J’ai mal ici
298,Où sont les toilettes ?
299,A l’aide 
300,Police
301,Danger
302,Je suis perdu(e)
303,Bonne journée 
304,Il faut qu'on parle 
305,J'ai besoin de te parler
306,Je suis etudiant a l'université de Buea
307,Je suis en deuxième année 
